t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:00:59.678720972,-5.1,7.3999996,1.37,-0.049999997000000004,0.39,-1.29,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.698720972,-5.94,7.02,-0.9899999500000001,0.19999999000000002,0.25,-1.6600000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.718720972,-5.94,7.02,-0.9899999500000001,0.08,0.19,-1.17,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.738720972,-7.68,7.75,0.89,0.08,0.19,-1.17,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.758720972,-6.574999999999999,7.9049995,0.45000000000000007,0.020000000000000004,0.25999999,-0.41500000000000004,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.778720972,-5.47,8.059999,0.01,-0.04,0.32999998,0.34,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.798720972,-6.41,7.4199996,0.76,-0.04,0.32999998,0.34,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.818720972,-6.18,7.624999799999999,0.7099999850000001,-0.07999999999999999,0.30499999,0.25,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.838720972,-5.95,7.83,0.65999997,-0.12,0.28,0.16,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.858720972,-5.33,7.37,0.8300000000000001,-0.04,0.03,0.17999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.878720972,-5.33,7.37,0.8300000000000001,-0.02,0.015,0.209999995,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.898720972,-5.33,7.37,0.8300000000000001,0.0,0.0,0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.918720972,-6.02499985,7.5799997999999995,0.48999998,0.03,0.02,0.28,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.938720972,-6.19,8.51,0.44,-0.01,0.0,0.45999998000000003,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.958720972,-6.19,8.51,0.44,-0.08,0.049999997000000004,0.7899999600000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.978720972,-6.96,7.17,2.22,-0.08,0.049999997000000004,0.7899999600000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:59.998720972,-5.6899999999999995,7.52,1.1500000000000001,0.074999995,0.2049999885,0.93499993,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.018720972,-4.42,7.87,0.08,0.22999999000000002,0.35999998,1.0799999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.038720972,-4.42,7.87,0.08,0.25,0.51,0.17999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.058720972,-5.17,9.03,-1.3599999999999999,0.12,0.62,-0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.078720972,-5.7849998,8.40499985,-0.5300000100000001,0.010000002999999993,0.37,-0.31,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.098720972,-6.3999996,7.7799997,0.29999998,-0.09999999400000001,0.12,-0.38,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.118720972,-5.5499997,7.97,0.0,-0.09999999400000001,0.12,-0.38,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.138720972,-7.24,6.29,1.6099999999999999,-0.11,0.07,-0.35000000000000003,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.158720972,-7.24,6.29,1.6099999999999999,-0.09999999400000001,-0.19,-0.34,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.178720972,-6.39,7.85,0.7899999600000001,0.01,-0.26999998000000003,-0.14999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.198720972,-6.3100000000000005,8.045,0.76999998,0.019999999999999997,-0.27999999,-0.089999995,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.218720972,-6.23,8.24,0.75,0.03,-0.29,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.238720972,-6.43,7.89,0.64,0.03,-0.45999998000000003,0.12,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.258720972,-6.43,7.89,0.64,0.04,-0.38,0.19,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.278720972,-5.87,7.96,0.90999997,0.04,-0.38,0.19,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.298720972,-5.87,7.96,0.90999997,0.09,-0.245,0.16,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.318720972,-5.87,7.96,0.90999997,0.14,-0.11,0.13,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.338720972,-5.98,8.59,0.42,0.14,-0.11,0.13,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.358720972,-5.77,7.5899997,0.55,0.14999999,0.03,0.04,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.378720972,-5.695,7.3199997,0.41500000000000004,0.139999995,0.03,0.05,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.398720972,-5.62,7.0499997,0.28,0.13,0.03,0.06,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.418720972,-6.15,6.29,1.79,0.11,-0.02,0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.438720972,-6.15,6.29,1.79,0.11,-0.02,0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.458720972,-5.49,6.22,0.35000000000000003,0.29,0.0,0.02,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.478720972,-5.9,6.2799997,0.9899999500000001,0.29,0.0,0.02,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.498720972,-6.83999985,7.669999349999999,0.714999975,0.259999995,-0.089999995,-0.09499999999999999,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.518720972,-7.7799997,9.059999,0.44,0.22999999000000002,-0.17999999,-0.21,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.538720972,-5.6,12.16,-0.14,0.31,-0.25,0.37,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.558720972,-5.5549999,10.245000000000001,0.1,0.31,-0.25,0.37,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.578720972,-5.5099998,8.33,0.34,0.31,-0.25,0.37,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.598720972,-5.3549999,9.690000000000001,0.395,0.29500000000000004,-0.16999999799999999,0.435,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.618720972,-5.2,11.05,0.45,0.28,-0.089999996,0.5,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.638720972,-5.148571385714286,10.71857142857143,0.44571428571428573,0.2571428571428572,-0.08428571042857143,0.5128571428571429,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.658720972,-5.0971427714285715,10.387142857142857,0.44142857142857145,0.23428571428571432,-0.07857142485714286,0.5257142857142857,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.678720972,-5.045714157142857,10.055714285714286,0.43714285714285717,0.21142857142857144,-0.07285713928571429,0.5385714285714286,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.698720972,-4.994285542857143,9.724285714285715,0.43285714285714283,0.18857142857142858,-0.06714285371428572,0.5514285714285714,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.718720972,-4.9428569285714286,9.392857142857142,0.42857142857142855,0.1657142857142857,-0.061428568142857146,0.5642857142857143,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.738720972,-4.891428314285714,9.061428571428571,0.42428571428571427,0.14285714285714285,-0.055714282571428575,0.5771428571428571,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.758720972,-4.8399997,8.73,0.42,0.12,-0.049999997000000004,0.59,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.778720972,-4.73899973,8.695,0.392,0.108,-0.0319999973,0.52,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.798720972,-4.63799976,8.66,0.364,0.096,-0.013999997600000001,0.44999999999999996,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.818720972,-4.53699979,8.625,0.33599999999999997,0.08399999999999999,0.004000002100000004,0.38,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.838720972,-4.43599982,8.59,0.308,0.072,0.022000001800000002,0.31,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.858720972,-4.33499985,8.555,0.28,0.06,0.04000000150000001,0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.878720972,-4.23399988,8.520000000000001,0.252,0.048,0.05800000120000001,0.16999999999999998,STANDING,0 days 00:00:00.020000,0.02,False,0
